DATE[day/month/year hour:min],t[days],JDfrom0,JD,Qtot[m3/s],Vsup/Dt[m3/s],Vsub/Dt[m3/s],Vchannel[m3],Qoutlandsup[m3/s],Qoutlandsub[m3/s],Qoutbottom[m3/s]
01/06/2000 12:01,0.000694,730638.500694,152.500694,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.763200e-07,2.095006e-05,0.000000e+00
01/06/2000 12:02,0.001389,730638.501389,152.501389,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.338710e-06,2.003533e-05,0.000000e+00
01/06/2000 12:03,0.002083,730638.502083,152.502083,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.099087e-05,2.015161e-05,0.000000e+00
01/06/2000 12:04,0.002778,730638.502778,152.502778,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.690893e-05,2.032745e-05,0.000000e+00
01/06/2000 12:05,0.003472,730638.503472,152.503472,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.025429e-05,2.045185e-05,0.000000e+00
01/06/2000 12:06,0.004167,730638.504167,152.504167,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.266618e-05,2.057963e-05,0.000000e+00
01/06/2000 12:07,0.004861,730638.504861,152.504861,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.601307e-05,2.071406e-05,0.000000e+00
01/06/2000 12:08,0.005556,730638.505556,152.505556,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.813520e-05,2.080730e-05,0.000000e+00
01/06/2000 12:09,0.006250,730638.506250,152.506250,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.926769e-05,2.087346e-05,0.000000e+00
01/06/2000 12:10,0.006944,730638.506944,152.506944,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.016730e-05,2.092542e-05,0.000000e+00
01/06/2000 12:11,0.007639,730638.507639,152.507639,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.160722e-05,2.097654e-05,0.000000e+00
01/06/2000 12:12,0.008333,730638.508333,152.508333,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.325699e-05,2.102201e-05,0.000000e+00
01/06/2000 12:13,0.009028,730638.509028,152.509028,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.458035e-05,2.106449e-05,0.000000e+00
01/06/2000 12:14,0.009722,730638.509722,152.509722,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.603690e-05,2.110042e-05,0.000000e+00
01/06/2000 12:15,0.010417,730638.510417,152.510417,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.972760e-05,2.113133e-05,0.000000e+00
01/06/2000 12:16,0.011111,730638.511111,152.511111,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.392565e-05,2.116460e-05,0.000000e+00
01/06/2000 12:17,0.011806,730638.511806,152.511806,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.770956e-05,2.119471e-05,0.000000e+00
01/06/2000 12:18,0.012500,730638.512500,152.512500,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.505965e-05,2.121935e-05,0.000000e+00
01/06/2000 12:19,0.013194,730638.513194,152.513194,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.909602e-05,2.124186e-05,0.000000e+00
01/06/2000 12:20,0.013889,730638.513889,152.513889,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.113833e-05,2.126908e-05,0.000000e+00
01/06/2000 12:21,0.014583,730638.514583,152.514583,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.307897e-05,2.129734e-05,0.000000e+00
01/06/2000 12:22,0.015278,730638.515278,152.515278,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.427093e-05,2.131997e-05,0.000000e+00
01/06/2000 12:23,0.015972,730638.515972,152.515972,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.566058e-05,2.134087e-05,0.000000e+00
01/06/2000 12:24,0.016667,730638.516667,152.516667,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.698982e-05,2.136191e-05,0.000000e+00
01/06/2000 12:25,0.017361,730638.517361,152.517361,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.849158e-05,2.138131e-05,0.000000e+00
01/06/2000 12:26,0.018056,730638.518056,152.518056,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.951655e-05,2.139849e-05,0.000000e+00
01/06/2000 12:27,0.018750,730638.518750,152.518750,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.047596e-05,2.141444e-05,0.000000e+00
01/06/2000 12:28,0.019444,730638.519444,152.519444,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.169708e-05,2.143111e-05,0.000000e+00
01/06/2000 12:29,0.020139,730638.520139,152.520139,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.315417e-05,2.144836e-05,0.000000e+00
01/06/2000 12:30,0.020833,730638.520833,152.520833,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.435528e-05,2.146520e-05,0.000000e+00
01/06/2000 12:31,0.021528,730638.521528,152.521528,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.533398e-05,2.148381e-05,0.000000e+00
01/06/2000 12:32,0.022222,730638.522222,152.522222,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.667720e-05,2.150620e-05,0.000000e+00
01/06/2000 12:33,0.022917,730638.522917,152.522917,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.787930e-05,2.152514e-05,0.000000e+00
01/06/2000 12:34,0.023611,730638.523611,152.523611,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.891682e-05,2.153974e-05,0.000000e+00
01/06/2000 12:35,0.024306,730638.524306,152.524306,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.983556e-05,2.155181e-05,0.000000e+00
01/06/2000 12:36,0.025000,730638.525000,152.525000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.007368e-04,2.156300e-05,0.000000e+00
01/06/2000 12:37,0.025694,730638.525694,152.525694,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.018162e-04,2.157490e-05,0.000000e+00
01/06/2000 12:38,0.026389,730638.526389,152.526389,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.029941e-04,2.158728e-05,0.000000e+00
01/06/2000 12:39,0.027083,730638.527083,152.527083,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.040582e-04,2.159960e-05,0.000000e+00
01/06/2000 12:40,0.027778,730638.527778,152.527778,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.052825e-04,2.161224e-05,0.000000e+00
01/06/2000 12:41,0.028472,730638.528472,152.528472,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.066740e-04,2.162573e-05,0.000000e+00
01/06/2000 12:42,0.029167,730638.529167,152.529167,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.082911e-04,2.164012e-05,0.000000e+00
01/06/2000 12:43,0.029861,730638.529861,152.529861,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.098314e-04,2.165370e-05,0.000000e+00
01/06/2000 12:44,0.030556,730638.530556,152.530556,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.111934e-04,2.166588e-05,0.000000e+00
01/06/2000 12:45,0.031250,730638.531250,152.531250,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.124679e-04,2.167728e-05,0.000000e+00
01/06/2000 12:46,0.031944,730638.531944,152.531944,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.137994e-04,2.168933e-05,0.000000e+00
01/06/2000 12:47,0.032639,730638.532639,152.532639,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.170701e-04,2.170441e-05,0.000000e+00
01/06/2000 12:48,0.033333,730638.533333,152.533333,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.356977e-04,2.172071e-05,0.000000e+00
01/06/2000 12:49,0.034028,730638.534028,152.534028,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.860722e-04,2.173685e-05,0.000000e+00
01/06/2000 12:50,0.034722,730638.534722,152.534722,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.517516e-04,2.175190e-05,0.000000e+00
01/06/2000 12:51,0.035417,730638.535417,152.535417,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.633073e-04,2.174590e-05,0.000000e+00
01/06/2000 12:52,0.036111,730638.536111,152.536111,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.219180e-04,2.158676e-05,0.000000e+00
01/06/2000 12:53,0.036806,730638.536806,152.536806,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.817331e-04,2.124089e-05,0.000000e+00
01/06/2000 12:54,0.037500,730638.537500,152.537500,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.522683e-04,2.100441e-05,0.000000e+00
01/06/2000 12:55,0.038194,730638.538194,152.538194,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.347580e-04,2.085399e-05,0.000000e+00
01/06/2000 12:56,0.038889,730638.538889,152.538889,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.184464e-04,2.075010e-05,0.000000e+00
01/06/2000 12:57,0.039583,730638.539583,152.539583,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.026355e-04,2.067337e-05,0.000000e+00
01/06/2000 12:58,0.040278,730638.540278,152.540278,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.341963e-05,2.061729e-05,0.000000e+00
01/06/2000 12:59,0.040972,730638.540972,152.540972,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.137143e-05,2.057166e-05,0.000000e+00
01/06/2000 13:00,0.041667,730638.541667,152.541667,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.575534e-05,2.052935e-05,0.000000e+00
01/06/2000 13:01,0.042361,730638.542361,152.542361,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.452952e-05,2.049130e-05,0.000000e+00
01/06/2000 13:02,0.043056,730638.543056,152.543056,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.106167e-05,2.046332e-05,0.000000e+00
01/06/2000 13:03,0.043750,730638.543750,152.543750,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.655140e-05,2.044048e-05,0.000000e+00
01/06/2000 13:04,0.044444,730638.544444,152.544444,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.882457e-05,2.041462e-05,0.000000e+00
01/06/2000 13:05,0.045139,730638.545139,152.545139,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.197335e-05,2.038733e-05,0.000000e+00
01/06/2000 13:06,0.045833,730638.545833,152.545833,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.425919e-05,2.035531e-05,0.000000e+00
01/06/2000 13:07,0.046528,730638.546528,152.546528,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.913316e-05,2.032320e-05,0.000000e+00
01/06/2000 13:08,0.047222,730638.547222,152.547222,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.550186e-05,2.029357e-05,0.000000e+00
01/06/2000 13:09,0.047917,730638.547917,152.547917,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.011578e-05,2.025292e-05,0.000000e+00
01/06/2000 13:10,0.048611,730638.548611,152.548611,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.310783e-06,2.020511e-05,0.000000e+00
01/06/2000 13:11,0.049306,730638.549306,152.549306,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.663995e-06,2.015583e-05,0.000000e+00
01/06/2000 13:12,0.050000,730638.550000,152.550000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.314251e-06,2.009641e-05,0.000000e+00
01/06/2000 13:13,0.050694,730638.550694,152.550694,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.687150e-07,1.971917e-05,0.000000e+00
01/06/2000 13:14,0.051389,730638.551389,152.551389,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.525490e-08,1.896228e-05,0.000000e+00
01/06/2000 13:15,0.052083,730638.552083,152.552083,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.955389e-10,1.849296e-05,0.000000e+00
01/06/2000 13:16,0.052778,730638.552778,152.552778,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.489827e-12,1.816695e-05,0.000000e+00
01/06/2000 13:17,0.053472,730638.553472,152.553472,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.539760e-15,1.791886e-05,0.000000e+00
01/06/2000 13:18,0.054167,730638.554167,152.554167,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.775947e-05,0.000000e+00
01/06/2000 13:19,0.054861,730638.554861,152.554861,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.765353e-05,0.000000e+00
01/06/2000 13:20,0.055556,730638.555556,152.555556,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.757290e-05,0.000000e+00
01/06/2000 13:21,0.056250,730638.556250,152.556250,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.750782e-05,0.000000e+00
01/06/2000 13:22,0.056944,730638.556944,152.556944,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.745328e-05,0.000000e+00
01/06/2000 13:23,0.057639,730638.557639,152.557639,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.740626e-05,0.000000e+00
01/06/2000 13:24,0.058333,730638.558333,152.558333,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.736499e-05,0.000000e+00
01/06/2000 13:25,0.059028,730638.559028,152.559028,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.732818e-05,0.000000e+00
01/06/2000 13:26,0.059722,730638.559722,152.559722,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.729489e-05,0.000000e+00
01/06/2000 13:27,0.060417,730638.560417,152.560417,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.726455e-05,0.000000e+00
01/06/2000 13:28,0.061111,730638.561111,152.561111,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.723669e-05,0.000000e+00
01/06/2000 13:29,0.061806,730638.561806,152.561806,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.721088e-05,0.000000e+00
01/06/2000 13:30,0.062500,730638.562500,152.562500,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.718681e-05,0.000000e+00
01/06/2000 13:31,0.063194,730638.563194,152.563194,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.716420e-05,0.000000e+00
01/06/2000 13:32,0.063889,730638.563889,152.563889,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.714294e-05,0.000000e+00
01/06/2000 13:33,0.064583,730638.564583,152.564583,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.712286e-05,0.000000e+00
01/06/2000 13:34,0.065278,730638.565278,152.565278,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.710386e-05,0.000000e+00
01/06/2000 13:35,0.065972,730638.565972,152.565972,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.708576e-05,0.000000e+00
01/06/2000 13:36,0.066667,730638.566667,152.566667,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.706844e-05,0.000000e+00
01/06/2000 13:37,0.067361,730638.567361,152.567361,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.705192e-05,0.000000e+00
01/06/2000 13:38,0.068056,730638.568056,152.568056,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.703619e-05,0.000000e+00
01/06/2000 13:39,0.068750,730638.568750,152.568750,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.702109e-05,0.000000e+00
01/06/2000 13:40,0.069444,730638.569444,152.569444,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.700652e-05,0.000000e+00
01/06/2000 13:41,0.070139,730638.570139,152.570139,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.699245e-05,0.000000e+00
01/06/2000 13:42,0.070833,730638.570833,152.570833,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.697884e-05,0.000000e+00
01/06/2000 13:43,0.071528,730638.571528,152.571528,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.696562e-05,0.000000e+00
01/06/2000 13:44,0.072222,730638.572222,152.572222,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.695276e-05,0.000000e+00
01/06/2000 13:45,0.072917,730638.572917,152.572917,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.694027e-05,0.000000e+00
01/06/2000 13:46,0.073611,730638.573611,152.573611,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.692800e-05,0.000000e+00
01/06/2000 13:47,0.074306,730638.574306,152.574306,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.691584e-05,0.000000e+00
01/06/2000 13:48,0.075000,730638.575000,152.575000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.690380e-05,0.000000e+00
01/06/2000 13:49,0.075694,730638.575694,152.575694,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.689183e-05,0.000000e+00
01/06/2000 13:50,0.076389,730638.576389,152.576389,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.687989e-05,0.000000e+00
01/06/2000 13:51,0.077083,730638.577083,152.577083,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.686806e-05,0.000000e+00
01/06/2000 13:52,0.077778,730638.577778,152.577778,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.685634e-05,0.000000e+00
01/06/2000 13:53,0.078472,730638.578472,152.578472,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.684469e-05,0.000000e+00
01/06/2000 13:54,0.079167,730638.579167,152.579167,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.683292e-05,0.000000e+00
01/06/2000 13:55,0.079861,730638.579861,152.579861,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.682133e-05,0.000000e+00
01/06/2000 13:56,0.080556,730638.580556,152.580556,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.681010e-05,0.000000e+00
01/06/2000 13:57,0.081250,730638.581250,152.581250,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.679911e-05,0.000000e+00
01/06/2000 13:58,0.081944,730638.581944,152.581944,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.678823e-05,0.000000e+00
01/06/2000 13:59,0.082639,730638.582639,152.582639,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.677746e-05,0.000000e+00
01/06/2000 14:00,0.083333,730638.583333,152.583333,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.676672e-05,0.000000e+00
